사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6467416,2018074,11110174,11110001,서울특별시 종로구1,서울특별시 종로구 창신동(동대문로터리 인근),42,69,1,12,48,8,127.0090552,37.57134779,"{""type"":""Polygon"",""coordinates"":[[[127.010402634094,37.5713477880709],[127.01037674278,37.5711394313449],[127.010300063825,37.5709390811012],[127.01017554396,37.570754436782],[127.010007968412,37.5705925943061],[127.009803777016,37.570459773356],[127.009570816732,37.570361078333],[127.009318040095,37.5703003021728],[127.009055161168,37.5702797805637],[127.008792282241,37.5703003021728],[127.008539505604,37.570361078333],[127.00830654532,37.570459773356],[127.008102353924,37.5705925943061],[127.007934778376,37.570754436782],[127.007810258511,37.5709390811012],[127.007733579556,37.5711394313449],[127.007707688242,37.5713477880709],[127.007733579556,37.571556144214],[127.007810258511,37.5717564927977],[127.007934778376,37.5719411346327],[127.008102353924,37.5721029741781],[127.00830654532,37.5722357921978],[127.008539505604,37.5723344847366],[127.008792282241,37.5723952592368],[127.009055161168,37.572415780263],[127.009318040095,37.5723952592368],[127.009570816732,37.5723344847366],[127.009803777016,37.5722357921978],[127.010007968412,37.5721029741781],[127.01017554396,37.5719411346327],[127.010300063825,37.5717564927977],[127.01037674278,37.571556144214],[127.010402634094,37.5713477880709]]]}"
6467417,2018074,11110138,11110002,서울특별시 종로구2,서울특별시 종로구 종로2가(종로1가일반국도6호선 인근),39,49,0,14,30,5,126.9837095,37.57016828,"{""type"":""Polygon"",""coordinates"":[[[126.985056958132,37.5701682849393],[126.985031066818,37.5699599249135],[126.984954387863,37.569759571497],[126.984829867998,37.5695749242536],[126.98466229245,37.5694130792147],[126.984458101054,37.5692802561611],[126.98422514077,37.5691815595751],[126.983972364133,37.5691207824524],[126.983709485206,37.5691002605183],[126.983446606279,37.5691207824524],[126.983193829642,37.5691815595751],[126.982960869358,37.5692802561611],[126.982756677962,37.5694130792147],[126.982589102414,37.5695749242536],[126.982464582549,37.569759571497],[126.982387903594,37.5699599249135],[126.98236201228,37.5701682849393],[126.982387903594,37.5703766443821],[126.982464582549,37.5705769961387],[126.982589102414,37.5707616408979],[126.982756677962,37.5709234830064],[126.982960869358,37.5710563031296],[126.983193829642,37.5711549972314],[126.983446606279,37.5712157726941],[126.983709485206,37.5712362940453],[126.983972364133,37.5712157726941],[126.98422514077,37.5711549972314],[126.984458101054,37.5710563031296],[126.98466229245,37.5709234830064],[126.984829867998,37.5707616408979],[126.984954387863,37.5705769961387],[126.985031066818,37.5703766443821],[126.985056958132,37.5701682849393]]]}"
6467418,2018074,11110161,11110003,서울특별시 종로구3,서울특별시 종로구 종로4가(종로4가배오개길진입 인근),38,56,0,19,30,7,126.9977511,37.57021922,"{""type"":""Polygon"",""coordinates"":[[[126.999098555274,37.5702192153454],[126.99907266396,37.5700108554621],[126.998995985005,37.5698105021826],[126.99887146514,37.5696258550655],[126.998703889592,37.5694640101372],[126.998499698196,37.5693311871745],[126.998266737912,37.5692324906559],[126.998013961275,37.5691717135748],[126.997751082348,37.5691511916548],[126.997488203421,37.5691717135748],[126.997235426784,37.5692324906559],[126.9970024665,37.5693311871745],[126.996798275104,37.5694640101372],[126.996630699556,37.5696258550655],[126.996506179691,37.5698105021826],[126.996429500736,37.5700108554621],[126.996403609422,37.5702192153454],[126.996429500736,37.5704275746458],[126.996506179691,37.5706279262654],[126.996630699556,37.5708125708983],[126.996798275104,37.5709744128961],[126.9970024665,37.5711072329285],[126.997235426784,37.5712059269628],[126.997488203421,37.5712667023839],[126.997751082348,37.5712872237211],[126.998013961275,37.5712667023839],[126.998266737912,37.5712059269628],[126.998499698196,37.5711072329285],[126.998703889592,37.5709744128961],[126.99887146514,37.5708125708983],[126.998995985005,37.5706279262654],[126.99907266396,37.5704275746458],[126.999098555274,37.5702192153454]]]}"
6467419,2018074,11140167,11140001,서울특별시 중구1,서울특별시 중구 정동(우성빌딩 인근),46,63,0,6,40,17,126.9777948,37.56385081,"{""type"":""Polygon"",""coordinates"":[[[126.979142227651,37.5638508065704],[126.979116336337,37.5636424288727],[126.979039657382,37.5634420584633],[126.978915137516,37.5632573955593],[126.978747561969,37.5630955367938],[126.978543370573,37.562962702475],[126.978310410289,37.5628639975183],[126.978057633652,37.5628032152409],[126.977794754725,37.5627826915663],[126.977531875798,37.5628032152409],[126.977279099161,37.5628639975183],[126.977046138877,37.562962702475],[126.976841947481,37.5630955367938],[126.976674371933,37.5632573955593],[126.976549852068,37.5634420584633],[126.976473173113,37.5636424288727],[126.976447281799,37.5638508065704],[126.976473173113,37.5640591836853],[126.976549852068,37.5642595524348],[126.976674371933,37.5644442128547],[126.976841947481,37.56460606869],[126.977046138877,37.5647389000785],[126.977279099161,37.5648376025512],[126.977531875798,37.5648983831687],[126.977794754725,37.5649189062604],[126.978057633652,37.5648983831687],[126.978310410289,37.5648376025512],[126.978543370573,37.5647389000785],[126.978747561969,37.56460606869],[126.978915137516,37.5644442128547],[126.979039657382,37.5642595524348],[126.979116336337,37.5640591836853],[126.979142227651,37.5638508065704]]]}"
6467420,2018074,11140120,11140002,서울특별시 중구2,서울특별시 중구 봉래동2가(서울역사거리 인근),45,67,0,12,54,1,126.9726242,37.55705081,"{""type"":""Polygon"",""coordinates"":[[[126.973971631305,37.5570508086488],[126.973945739991,37.5568424119322],[126.973869061036,37.5566420232349],[126.973744541171,37.5564573434766],[126.973576965623,37.5562954699382],[126.973372774227,37.5561626234957],[126.973139813943,37.5560639095302],[126.972887037306,37.5560031217053],[126.972624158379,37.5559825961575],[126.972361279452,37.5560031217053],[126.972108502815,37.5560639095302],[126.971875542531,37.5561626234957],[126.971671351135,37.5562954699382],[126.971503775587,37.5564573434766],[126.971379255722,37.5566420232349],[126.971302576767,37.5568424119322],[126.971276685453,37.5570508086488],[126.971302576767,37.5572592047826],[126.971379255722,37.5574595918201],[126.971503775587,37.5576442690945],[126.971671351135,37.5578061397029],[126.971875542531,37.5579389832153],[126.972108502815,37.5580376946969],[126.972361279452,37.558098480862],[126.972624158379,37.558119005827],[126.972887037306,37.558098480862],[126.973139813943,37.5580376946969],[126.973372774227,37.5579389832153],[126.973576965623,37.5578061397029],[126.973744541171,37.5576442690945],[126.973869061036,37.5574595918201],[126.973945739991,37.5572592047826],[126.973971631305,37.5570508086488]]]}"
6467421,2018074,11140127,11140003,서울특별시 중구3,서울특별시 중구 명동2가(회현사거리반포로북창 인근),43,58,0,11,44,3,126.9816686,37.56090972,"{""type"":""Polygon"",""coordinates"":[[[126.983016100532,37.5609097204082],[126.982990209218,37.5607013344842],[126.982913530263,37.5605009561647],[126.982789010398,37.5603162859707],[126.98262143485,37.5601544208154],[126.982417243454,37.5600215812528],[126.98218428317,37.5599228723994],[126.981931506533,37.5598620877226],[126.981668627606,37.5598415632378],[126.981405748679,37.5598620877226],[126.981152972042,37.5599228723994],[126.980920011758,37.5600215812528],[126.980715820362,37.5601544208154],[126.980548244814,37.5603162859707],[126.980423724949,37.5605009561647],[126.980347045994,37.5607013344842],[126.98032115468,37.5609097204082],[126.980347045994,37.5611181057493],[126.980423724949,37.561318482409],[126.980548244814,37.561503150119],[126.980715820362,37.5616650123442],[126.980920011758,37.5617978489766],[126.981152972042,37.5618965553459],[126.981405748679,37.561957338363],[126.981668627606,37.5619778622649],[126.981931506533,37.561957338363],[126.98218428317,37.5618965553459],[126.982417243454,37.5617978489766],[126.98262143485,37.5616650123442],[126.982789010398,37.561503150119],[126.982913530263,37.561318482409],[126.982990209218,37.5611181057493],[126.983016100532,37.5609097204082]]]}"
6467422,2018074,11170133,11170001,서울특별시 용산구1,서울특별시 용산구 서빙고동(이태원소방파출소 인근),47,61,0,9,47,5,126.9955912,37.53461328,"{""type"":""Polygon"",""coordinates"":[[[126.996938677797,37.5346132820782],[126.996912786483,37.534404822627],[126.996836107528,37.534204373606],[126.996711587663,37.5340196382533],[126.996544012115,37.533857715986],[126.996339820719,37.5337248295528],[126.996106860435,37.5336260858715],[126.995854083798,37.5335652797478],[126.995591204871,37.5335447480212],[126.995328325944,37.5335652797478],[126.995075549307,37.5336260858715],[126.994842589023,37.5337248295528],[126.994638397627,37.533857715986],[126.994470822079,37.5340196382533],[126.994346302214,37.534204373606],[126.994269623259,37.534404822627],[126.994243731945,37.5346132820782],[126.994269623259,37.5348217409467],[126.994346302214,37.5350221883083],[126.994470822079,37.5352069211776],[126.994638397627,37.5353688405155],[126.994842589023,37.5355017240193],[126.995075549307,37.5356004652171],[126.995328325944,37.5356612696815],[126.995591204871,37.5356818008253],[126.995854083798,37.5356612696815],[126.996106860435,37.5356004652171],[126.996339820719,37.5355017240193],[126.996544012115,37.5353688405155],[126.996711587663,37.5352069211776],[126.996836107528,37.5350221883083],[126.996912786483,37.5348217409467],[126.996938677797,37.5346132820782]]]}"
6467423,2018074,11170135,11170002,서울특별시 용산구2,서울특별시 용산구 용산동6가(하나은행한남동지점 인근),41,60,0,16,44,0,127.0073387,37.5332407,"{""type"":""Polygon"",""coordinates"":[[[127.008686214117,37.5332406998993],[127.008660322803,37.5330322366114],[127.008583643848,37.5328317839013],[127.008459123983,37.5326470451485],[127.008291548435,37.5324851199011],[127.008087357039,37.5323522310222],[127.007854396755,37.5322534855236],[127.007601620118,37.5321926782807],[127.007338741191,37.5321721461763],[127.007075862264,37.5321926782807],[127.006823085627,37.5322534855236],[127.006590125343,37.5323522310222],[127.006385933947,37.5324851199011],[127.006218358399,37.5326470451485],[127.006093838534,37.5328317839013],[127.006017159579,37.5330322366114],[127.005991268265,37.5332406998993],[127.006017159579,37.5334491626045],[127.006093838534,37.5336496136553],[127.006218358399,37.5338343499246],[127.006385933947,37.5339962722427],[127.006590125343,37.5341291581922],[127.006823085627,37.5342279012074],[127.007075862264,37.5342887067908],[127.007338741191,37.5343092383126],[127.007601620118,37.5342887067908],[127.007854396755,37.5342279012074],[127.008087357039,37.5341291581922],[127.008291548435,37.5339962722427],[127.008459123983,37.5338343499246],[127.008583643848,37.5336496136553],[127.008660322803,37.5334491626045],[127.008686214117,37.5332406998993]]]}"
6467424,2018074,11170133,11170003,서울특별시 용산구3,서울특별시 용산구 서빙고동(한강대교북단 인근),33,42,1,8,33,0,126.9618203,37.52239923,"{""type"":""Polygon"",""coordinates"":[[[126.963167743716,37.5223992341382],[126.963141852402,37.5221907405503],[126.963065173447,37.5219902587046],[126.962940653582,37.5218054931005],[126.962773078034,37.5216435443176],[126.962568886638,37.5215106361237],[126.962335926354,37.5214118762728],[126.962083149717,37.5213510601919],[126.96182027079,37.5213305251032],[126.961557391863,37.5213510601919],[126.961304615226,37.5214118762728],[126.961071654942,37.5215106361237],[126.960867463546,37.5216435443176],[126.960699887998,37.5218054931005],[126.960575368133,37.5219902587046],[126.960498689178,37.5221907405503],[126.960472797864,37.5223992341382],[126.960498689178,37.5226077271434],[126.960575368133,37.5228082073299],[126.960699887998,37.5229929704509],[126.960867463546,37.5231549163047],[126.961071654942,37.5232878215695],[126.961304615226,37.5233865789372],[126.961557391863,37.523447393359],[126.96182027079,37.523467927865],[126.962083149717,37.523447393359],[126.962335926354,37.5233865789372],[126.962568886638,37.5232878215695],[126.962773078034,37.5231549163047],[126.962940653582,37.5229929704509],[126.963065173447,37.5228082073299],[126.963141852402,37.5226077271434],[126.963167743716,37.5223992341382]]]}"
6467425,2018074,11200107,11200001,서울특별시 성동구1,서울특별시 성동구 행당동(고산자로왕십리로진입 인근),31,47,0,6,31,10,127.0350925,37.56153953,"{""type"":""Polygon"",""coordinates"":[[[127.036439968749,37.5615395318248],[127.036414077435,37.5613311476624],[127.03633739848,37.5611307710367],[127.036212878615,37.5609461024038],[127.036045303067,37.5607842386168],[127.035841111671,37.560651400177],[127.035608151387,37.5605526921581],[127.03535537475,37.5604919079951],[127.035092495823,37.5604713836838],[127.034829616896,37.5604919079951],[127.034576840259,37.5605526921581],[127.034343879975,37.560651400177],[127.034139688579,37.5607842386168],[127.033972113031,37.5609461024038],[127.033847593166,37.5611307710367],[127.033770914211,37.5613311476624],[127.033745022897,37.5615395318248],[127.033770914211,37.5617479154044],[127.033847593166,37.5619482903702],[127.033972113031,37.5621329565191],[127.034139688579,37.562294817376],[127.034343879975,37.5624276528855],[127.034576840259,37.5625263584204],[127.034829616896,37.5625871409236],[127.035092495823,37.5626076646521],[127.03535537475,37.5625871409236],[127.035608151387,37.5625263584204],[127.035841111671,37.5624276528855],[127.036045303067,37.562294817376],[127.036212878615,37.5621329565191],[127.03633739848,37.5619482903702],[127.036414077435,37.5617479154044],[127.036439968749,37.5615395318248]]]}"
