기간,지역,인구,면적,인구밀도(명/㎢)
2018,합계,"10,049,607",605.24,"16,604"
2018,종로구,"163,026",23.91,"6,817"
2018,중구,"135,633",9.96,"13,618"
2018,용산구,"245,090",21.87,"11,209"
2018,성동구,"316,463",16.86,"18,771"
2018,광진구,"371,063",17.06,"21,746"
2018,동대문구,"364,338",14.22,"25,630"
2018,중랑구,"408,147",18.5,"22,067"
2018,성북구,"447,687",24.57,"18,218"
2018,강북구,"322,915",23.6,"13,683"
2018,도봉구,"341,649",20.67,"16,531"
2018,노원구,"548,160",35.44,"15,468"
2018,은평구,"487,666",29.71,"16,415"
2018,서대문구,"323,080",17.62,"18,331"
2018,마포구,"386,359",23.85,"16,199"
2018,양천구,"468,145",17.41,"26,894"
2018,강서구,"603,611",41.44,"14,567"
2018,구로구,"438,486",20.12,"21,793"
2018,금천구,"254,021",13.02,"19,510"
2018,영등포구,"403,600",24.55,"16,441"
2018,동작구,"409,385",16.35,"25,032"
2018,관악구,"520,040",29.57,"17,587"
2018,서초구,"438,163",46.98,"9,326"
2018,강남구,"547,453",39.5,"13,859"
2018,송파구,"673,507",33.87,"19,883"
2018,강동구,"431,920",24.59,"17,564"
