기간,자치구,구분,계,맑음,흐림,비,안개,눈,기타/불명
2018,합계,발생건수,"38,795","34,055","1,640","2,465",2,195,438
2018,합계,사망자,304,258,20,22,1,2,1
2018,합계,부상자,"53,751","47,039","2,359","3,446",1,300,606
2018,종로구,발생건수,"1,134","1,025",32,69,-,8,-
2018,종로구,사망자,6,6,-,-,-,-,-
2018,종로구,부상자,"1,546","1,385",46,105,-,10,-
2018,중구,발생건수,"1,128","1,002",47,68,-,5,6
2018,중구,사망자,9,8,1,-,-,-,-
2018,중구,부상자,"1,506","1,340",63,86,-,8,9
2018,용산구,발생건수,"1,330","1,202",44,69,-,6,9
2018,용산구,사망자,14,12,2,-,-,-,-
2018,용산구,부상자,"1,852","1,682",62,89,-,6,13
2018,성동구,발생건수,"1,143","1,001",65,69,-,8,-
2018,성동구,사망자,9,8,-,-,-,1,-
2018,성동구,부상자,"1,561","1,371",82,100,-,8,-
2018,광진구,발생건수,"1,108",981,33,77,-,6,11
2018,광진구,사망자,10,9,-,1,-,-,-
2018,광진구,부상자,"1,474","1,287",50,108,-,13,16
2018,동대문구,발생건수,"1,699","1,494",93,86,-,5,21
2018,동대문구,사망자,14,13,1,-,-,-,-
2018,동대문구,부상자,"2,160","1,896",123,109,-,6,26
2018,중랑구,발생건수,"1,565","1,394",71,79,-,7,14
2018,중랑구,사망자,10,7,1,1,-,-,1
2018,중랑구,부상자,"2,135","1,892",110,97,-,14,22
2018,성북구,발생건수,"1,427","1,209",111,97,-,10,-
2018,성북구,사망자,14,13,1,-,-,-,-
2018,성북구,부상자,"1,980","1,659",152,157,-,12,-
2018,강북구,발생건수,"1,216",963,166,73,-,11,3
2018,강북구,사망자,13,7,5,1,-,-,-
2018,강북구,부상자,"1,633","1,283",225,107,-,15,3
2018,도봉구,발생건수,824,709,45,66,-,4,-
2018,도봉구,사망자,6,5,-,1,-,-,-
2018,도봉구,부상자,"1,061",906,63,85,-,7,-
2018,노원구,발생건수,"1,569","1,324",94,125,-,10,16
2018,노원구,사망자,14,14,-,-,-,-,-
2018,노원구,부상자,"2,227","1,858",138,196,-,11,24
2018,은평구,발생건수,"1,134","1,013",40,71,-,5,5
2018,은평구,사망자,12,12,-,-,-,-,-
2018,은평구,부상자,"1,580","1,419",56,91,-,7,7
2018,서대문구,발생건수,"1,033",911,70,50,-,1,1
2018,서대문구,사망자,5,4,1,-,-,-,-
2018,서대문구,부상자,"1,403","1,228",101,72,-,1,1
2018,마포구,발생건수,"1,671","1,518",27,101,-,8,17
2018,마포구,사망자,11,9,1,1,-,-,-
2018,마포구,부상자,"2,429","2,217",39,138,-,11,24
2018,양천구,발생건수,"1,428","1,265",46,107,1,9,-
2018,양천구,사망자,11,8,-,1,1,1,-
2018,양천구,부상자,"1,939","1,674",57,167,-,41,-
2018,강서구,발생건수,"1,502","1,314",70,104,-,9,5
2018,강서구,사망자,11,8,2,1,-,-,-
2018,강서구,부상자,"2,208","1,905",121,162,-,15,5
2018,구로구,발생건수,"1,532","1,375",34,108,-,4,11
2018,구로구,사망자,13,12,-,1,-,-,-
2018,구로구,부상자,"2,129","1,917",50,139,-,7,16
2018,금천구,발생건수,932,788,31,86,-,7,20
2018,금천구,사망자,6,5,-,1,-,-,-
2018,금천구,부상자,"1,326","1,110",47,123,-,9,37
2018,영등포구,발생건수,"2,493","2,272",66,142,-,7,6
2018,영등포구,사망자,22,21,-,1,-,-,-
2018,영등포구,부상자,"3,532","3,217",95,203,-,10,7
2018,동작구,발생건수,"1,412","1,251",43,105,-,11,2
2018,동작구,사망자,9,8,-,1,-,-,-
2018,동작구,부상자,"1,892","1,687",52,136,-,13,4
2018,관악구,발생건수,"1,300","1,091",37,91,-,5,76
2018,관악구,사망자,8,7,-,1,-,-,-
2018,관악구,부상자,"1,717","1,429",63,123,-,5,97
2018,서초구,발생건수,"2,478","2,226",70,148,1,17,16
2018,서초구,사망자,18,15,1,2,-,-,-
2018,서초구,부상자,"3,640","3,284",115,192,1,30,18
2018,강남구,발생건수,"3,459","3,004",87,191,-,13,164
2018,강남구,사망자,20,15,1,4,-,-,-
2018,강남구,부상자,"4,967","4,315",119,279,-,20,234
2018,송파구,발생건수,"2,860","2,484",151,186,-,9,30
2018,송파구,사망자,27,22,2,3,-,-,-
2018,송파구,부상자,"3,932","3,401",221,264,-,10,36
2018,강동구,발생건수,"1,418","1,239",67,97,-,10,5
2018,강동구,사망자,12,10,1,1,-,-,-
2018,강동구,부상자,"1,922","1,677",109,118,-,11,7
