구명,유형,설치주소,지역명,상세설치장소,설치기관(회사),설치위치(X좌표),설치위치(Y좌표),콘텐츠아이디
강남구,복지시설,강남구 광평로34길 124,아동복지센터,아동복지센터,서울시,127.088505,37.479804,WF120001
강남구,공공기관,서울 강남구 언주로108길 20,u-강남 도시관제센터,2층,강남구,127.0410033,37.5082915,WF121001
강남구,공공기관,서울 강남구 삼성로 154,강남구의회,6층,강남구,127.0642501,37.4938501,WF121002
강남구,공공기관,서울 강남구 학동로 426,강남구청,본관 4층,강남구,127.0474601,37.5175201,WF121010
강남구,문화시설,서울 강남구 삼성로 628,강남문화재단_1,4층,강남구,127.0521134,37.5159009,WF121025
강남구,문화시설,서울 강남구 영동대로65길 24,대치2문화센터,2층,강남구,127.0643002,37.5023891,WF121029
강남구,문화시설,서울 강남구 도곡로77길 23,대치4문화센터,3층,강남구,127.0578714,37.4997627,WF121030
강남구,문화시설,서울 강남구 남부순환로378길 34-9,도곡2문화센터,3층,강남구,127.0464503,37.4836446,WF121031
강남구,보건시설,서울 강남구 선릉로 668,보건소,1층,강남구,127.0422163,37.5162597,WF121032
강남구,보건시설,서울 강남구 밤고개로1길 52,보건소분소,1층,강남구,127.1052665,37.4888523,WF121036
강남구,주민센터,서울 강남구 봉은사로 616,삼성1동주민센터,3층,강남구,127.0626098,37.5143172,WF121037
강남구,문화시설,서울 강남구 봉은사로 616,삼성1문화센터,4층,강남구,127.0626688,37.5143683,WF121038
강남구,문화시설,서울 강남구 봉은사로 419,삼성2문화센터,4층,강남구,127.0459172,37.5111578,WF121039
강남구,문화시설,서울 강남구 밤고개로 286,세곡문화센터,2층,강남구,127.1068759,37.4691307,WF121040
강남구,문화시설,서울 강남구 역삼로7길 16,역삼1문화센터,4층,강남구,127.0332181,37.4951631,WF121041
강남구,문화시설,서울 강남구 압구정로79길 26,청담문화센터,2층,강남구,127.0492935,37.5250895,WF121042
강남구,복지시설,서울 강남구 학동로67길 11,청담평생학습관,3층,강남구,127.0464301,37.5190501,WF121043
강남구,주요거리,서울특별시 강남구 테헤란로 101,강남역 지하상가,역삼1동 821-1,미래부(LGU+),127.0280696,37.4986144,WF121044
강남구,공공기관,서울특별시 강남구 테헤란로114길 23,강남운전면허시험장(대치),대치동 998-1,미래부(KT),127.0672394,37.5084197,WF121045
강남구,복지시설,서울특별시 강남구 테헤란로 410,강남종합고용지원센터,대치4동 889-13 금강타워,미래부(KT),127.0507291,37.504556,WF121046
강남구,문화시설,서울특별시 강남구 선릉로4길 30,개포도서관,개포2동 130,미래부(KT),127.063769,37.4829604,WF121047
강남구,복지시설,서울특별시 강남구 남부순환로 2806,군인공제회관,도곡동 467-12 한국 IBM,미래부(KT),127.0528667,37.4890937,WF121048
강남구,문화시설,서울특별시 강남구 선릉로69길 19,역삼동 문화센터,역삼동 757,미래부(KT),127.0500818,37.4975477,WF121059
강남구,문화시설,서울특별시 강남구 영동대로 513,코엑스전시장(몰),삼성1동 159,미래부(LGU+),127.0587979,37.5124637,WF121060
강남구,전통시장,서울특별시 강남구 압구정로2길 46,강남시장,신사동 510-11(1층 우측식당복도 천정),SKT,127.020569,37.518774,WF131001
강남구,주요거리,서울특별시 강남구 선릉로86길 26,대치동 거리,대치동 896 -34 세원빌딩 옥상,LGU+,127.051855,37.503561,WF131004
강남구,주요거리,서울특별시 강남구 선릉로86길 10,대치동 거리,대치동 897 -13 남곡빌딩 옥상,LGU+,127.050684,37.503111,WF131005
강남구,전통시장,서울특별시 강남구 강남대로124길 13,영동전통시장,논현동 140(옥상설치-시장좌측방향),SKT,127.023881,37.509119,WF131006
강남구,전통시장,서울특별시 강남구 학동로101길 26,청담삼익시장,청담동 134-20(1F 우측공원출입구_D)-1층 125호앞 복도 기둥벽면,SKT,127.057737,37.522519,WF131008
